"OPDUCHN.Code.or.Value","OPDUCHN.Value.Description","OPDUCHN.Count","OPDUCHN.Cumulative","OPDUCHN.Skip.to.Item"
"0","No",3088,3088,NA
"1","Questionable",71,3159,NA
"2","Yes",121,3280,NA
"3","Yes, in center",1,3281,NA
".","Missing",582,3863,NA
