"OHD23LAS.Code.or.Value","OHD23LAS.Value.Description","OHD23LAS.Count","OHD23LAS.Cumulative","OHD23LAS.Skip.to.Item"
"0 to 10","Range of Values",2296,2296,NA
"99","Calculation cannot be determined",204,2500,NA
".","Missing",4218,6718,NA
