"LBDVCBLC.Code.or.Value","LBDVCBLC.Value.Description","LBDVCBLC.Count","LBDVCBLC.Cumulative","LBDVCBLC.Skip.to.Item"
"0","At or above detection limit",3,3,NA
"1","Below lower detection limit",2863,2866,NA
".","Missing",306,3172,NA
