"RFXT048.Code.or.Value","RFXT048.Value.Description","RFXT048.Count","RFXT048.Cumulative","RFXT048.Skip.to.Item"
"407 to 416","Range of Values",33703,33703,NA
".","Missing",18,33721,NA
