"DXXPT6X.Code.or.Value","DXXPT6X.Value.Description","DXXPT6X.Count","DXXPT6X.Cumulative","DXXPT6X.Skip.to.Item"
"723.6 to 1262.7","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
