"DSDAA1LC.Code.or.Value","DSDAA1LC.Value.Description","DSDAA1LC.Count","DSDAA1LC.Cumulative","DSDAA1LC.Skip.to.Item"
"0","At or above the detection limit",1506,1506,NA
"1","Below lower detection limit",5451,6957,NA
".","Missing",2483,9440,NA
