"DXDHETOT.Code.or.Value","DXDHETOT.Value.Description","DXDHETOT.Count","DXDHETOT.Cumulative","DXDHETOT.Skip.to.Item"
"2833.9 to 7548.7","Range of Values",4072,4072,NA
".","Missing",1042,5114,NA
