"OPDDPHVH.Code.or.Value","OPDDPHVH.Value.Description","OPDDPHVH.Count","OPDDPHVH.Cumulative","OPDDPHVH.Skip.to.Item"
"0","None",3209,3209,NA
"1","Questionable",1,3210,NA
"2","< 1 Disc Area",1,3211,NA
"3",">= 1 Disc Area",0,3211,NA
".","Missing",652,3863,NA
