"RFXC019.Code.or.Value","RFXC019.Value.Description","RFXC019.Count","RFXC019.Cumulative","RFXC019.Skip.to.Item"
"-6.625 to 5.328","Range of Values",33711,33711,NA
".","Missing",10,33721,NA
