"AUXLR121.Code.or.Value","AUXLR121.Value.Description","AUXLR121.Count","AUXLR121.Cumulative","AUXLR121.Skip.to.Item"
"-50 to 68","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
