"LBDRFOSI.Code.or.Value","LBDRFOSI.Value.Description","LBDRFOSI.Count","LBDRFOSI.Cumulative","LBDRFOSI.Skip.to.Item"
"114 to 5870","Range of Values",4582,4582,NA
".","Missing",510,5092,NA
