"PFQ054.Code.or.Value","PFQ054.Value.Description","PFQ054.Count","PFQ054.Cumulative","PFQ054.Skip.to.Item"
"1","Yes",785,785,NA
"2","No",4784,5569,NA
"7","Refused",0,5569,NA
"9","Don't know",0,5569,NA
".","Missing",2852,8421,NA
