"OHQ571U.Code.or.Value","OHQ571U.Value.Description","OHQ571U.Count","OHQ571U.Cumulative","OHQ571U.Skip.to.Item"
"1","Month",54,54,NA
"2","Years",181,235,NA
".","Missing",8662,8897,NA
