"BAXFTC12.Code.or.Value","BAXFTC12.Value.Description","BAXFTC12.Count","BAXFTC12.Cumulative","BAXFTC12.Skip.to.Item"
"0 to 7","Range of Values",3,3,NA
".","Missing",3083,3086,NA
