"LB2FOLSI.Code.or.Value","LB2FOLSI.Value.Description","LB2FOLSI.Count","LB2FOLSI.Cumulative","LB2FOLSI.Skip.to.Item"
"4.5 to 215.2","Range of Values",546,546,NA
".","Missing",5,551,NA
