"WBXA020.Code.or.Value","WBXA020.Value.Description","WBXA020.Count","WBXA020.Cumulative","WBXA020.Skip.to.Item"
"-2.2664 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
