"RHD442.Code.or.Value","RHD442.Value.Description","RHD442.Count","RHD442.Cumulative","RHD442.Skip.to.Item"
"1","Yes",177,177,""
"2","No",711,888,""
"7","Refused",0,888,"RHQ510"
"9","Don't know",0,888,"RHQ510"
".","Missing",2410,3298,""
