"OSD030bf.Code.or.Value","OSD030bf.Value.Description","OSD030bf.Count","OSD030bf.Cumulative","OSD030bf.Skip.to.Item"
"16 to 23","Range of Values",2,2,NA
"80","80 or older",0,2,NA
"77777","Refused",0,2,NA
"99999","Don't know",0,2,NA
".","Missing",3813,3815,NA
