"BIXS035K.Code.or.Value","BIXS035K.Value.Description","BIXS035K.Count","BIXS035K.Cumulative","BIXS035K.Skip.to.Item"
"329.05 to 937.44","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
