"MGDSEAT.Code.or.Value","MGDSEAT.Value.Description","MGDSEAT.Count","MGDSEAT.Cumulative","MGDSEAT.Skip.to.Item"
"1","Standing",4997,4997,NA
"2","Seated",214,5211,NA
".","Missing",3080,8291,NA
