"BIXS054K.Code.or.Value","BIXS054K.Value.Description","BIXS054K.Count","BIXS054K.Cumulative","BIXS054K.Skip.to.Item"
"313.35 to 914.83","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
