"CIQP44A.Code.or.Value","CIQP44A.Value.Description","CIQP44A.Count","CIQP44A.Cumulative","CIQP44A.Skip.to.Item"
"1","Strong Fear: giving speech",3,3,NA
"77","Refused",0,3,NA
"99","Don't know",0,3,NA
".","Missing",847,850,NA
