"DXXPT62X.Code.or.Value","DXXPT62X.Value.Description","DXXPT62X.Count","DXXPT62X.Cumulative","DXXPT62X.Skip.to.Item"
"705.1 to 1243","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
