"OHQ160.Code.or.Value","OHQ160.Value.Description","OHQ160.Count","OHQ160.Cumulative","OHQ160.Skip.to.Item"
"1","Yes",1757,1757,NA
"2","No",4677,6434,NA
".","Missing",3164,9598,NA
