"URDUCDLC.Code.or.Value","URDUCDLC.Value.Description","URDUCDLC.Count","URDUCDLC.Cumulative","URDUCDLC.Skip.to.Item"
"0","At or above the detection limit",2208,2208,NA
"1","Below lower detection limit",600,2808,NA
".","Missing",171,2979,NA
