"LBDED1LC.Code.or.Value","LBDED1LC.Value.Description","LBDED1LC.Count","LBDED1LC.Cumulative","LBDED1LC.Skip.to.Item"
"0","At or above the detection limit",3974,3974,NA
"1","Below lower detection limit",0,3974,NA
".","Missing",1669,5643,NA
