"TYXA028.Code.or.Value","TYXA028.Value.Description","TYXA028.Count","TYXA028.Cumulative","TYXA028.Skip.to.Item"
"0.192 to 6.495","Range of Values",5583,5583,NA
".","Missing",2,5585,NA
