"URXNOXT.Code.or.Value","URXNOXT.Value.Description","URXNOXT.Count","URXNOXT.Cumulative","URXNOXT.Skip.to.Item"
"1.77 to 4860","Range of Values",548,548,NA
".","Missing",2431,2979,NA
