"WTSBA23.Code.or.Value","WTSBA23.Value.Description","WTSBA23.Count","WTSBA23.Cumulative","WTSBA23.Skip.to.Item"
"0 to 360187.8789","Range of Values",946,946,NA
".","Missing",65,1011,NA
