"MCQ260BG.Code.or.Value","MCQ260BG.Value.Description","MCQ260BG.Count","MCQ260BG.Cumulative","MCQ260BG.Skip.to.Item"
"7","Brother",28,28,"MCQ250C"
".","Missing",9617,9645,""
