"LBC128LA.Code.or.Value","LBC128LA.Value.Description","LBC128LA.Count","LBC128LA.Cumulative","LBC128LA.Skip.to.Item"
"0.1 to 3.2","Range of Values",264,264,NA
".","Missing",0,264,NA
