"LB2FBSI.Code.or.Value","LB2FBSI.Value.Description","LB2FBSI.Count","LB2FBSI.Cumulative","LB2FBSI.Skip.to.Item"
"1.73 to 7.32","Range of Values",262,262,NA
".","Missing",295,557,NA
