"VIQ191.Code.or.Value","VIQ191.Value.Description","VIQ191.Count","VIQ191.Cumulative","VIQ191.Skip.to.Item"
"1","Right",8,8,NA
"2","Left",8,16,NA
"3","Both",80,96,NA
"9","Don't know",2,98,NA
".","Missing",6819,6917,NA
