"DBD935.Code.or.Value","DBD935.Value.Description","DBD935.Count","DBD935.Cumulative","DBD935.Skip.to.Item"
"1","Yes",864,864,NA
"2","No",792,1656,NA
"7","Refused",0,1656,NA
"9","Don't know",0,1656,NA
".","Missing",389,2045,NA
