"DMDHRBR4.Code.or.Value","DMDHRBR4.Value.Description","DMDHRBR4.Count","DMDHRBR4.Cumulative","DMDHRBR4.Skip.to.Item"
"1","Born in 50 US states or Washington, DC",6359,6359,NA
"2","Others",3207,9566,NA
"77","Refused",5,9571,NA
"99","Don't Know",4,9575,NA
".","Missing",396,9971,NA
