"LBXLG1.Code.or.Value","LBXLG1.Value.Description","LBXLG1.Count","LBXLG1.Cumulative","LBXLG1.Skip.to.Item"
"19.8 to 158","Range of Values",4394,4394,NA
".","Missing",1249,5643,NA
