"TYXA167.Code.or.Value","TYXA167.Value.Description","TYXA167.Count","TYXA167.Cumulative","TYXA167.Skip.to.Item"
"0.09 to 6.385","Range of Values",1708,1708,NA
".","Missing",3877,5585,NA
