"BHD050.Code.or.Value","BHD050.Value.Description","BHD050.Count","BHD050.Cumulative","BHD050.Skip.to.Item"
"1 to 63","Range of Values",5262,5262,NA
"777","Refused",0,5262,NA
"999","Don't know",15,5277,NA
".","Missing",782,6059,NA
