"LBXBGM.Code.or.Value","LBXBGM.Value.Description","LBXBGM.Count","LBXBGM.Cumulative","LBXBGM.Skip.to.Item"
"0.18 to 55.9","Range of Values",7480,7480,NA
".","Missing",886,8366,NA
