"PAQ635.Code.or.Value","PAQ635.Value.Description","PAQ635.Count","PAQ635.Cumulative","PAQ635.Skip.to.Item"
"1","Yes",1439,1439,""
"2","No",4417,5856,"PAQ650"
"7","Refused",0,5856,"PAQ650"
"9","Don't know",0,5856,"PAQ650"
".","Missing",0,5856,""
