"MPQ120T.Code.or.Value","MPQ120T.Value.Description","MPQ120T.Count","MPQ120T.Cumulative","MPQ120T.Skip.to.Item"
"29","Mid-leg - left",244,244,NA
".","Missing",4797,5041,NA
