"LBXCD4.Code.or.Value","LBXCD4.Value.Description","LBXCD4.Count","LBXCD4.Cumulative","LBXCD4.Skip.to.Item"
"3 to 1859","Range of Values",44,44,NA
".","Missing",3171,3215,NA
