"DSDBG1LC.Code.or.Value","DSDBG1LC.Value.Description","DSDBG1LC.Count","DSDBG1LC.Cumulative","DSDBG1LC.Skip.to.Item"
"0","At or above the detection limit",2531,2531,NA
"1","Below lower detection limit",4306,6837,NA
".","Missing",2603,9440,NA
