"TYXP030.Code.or.Value","TYXP030.Value.Description","TYXP030.Count","TYXP030.Cumulative","TYXP030.Skip.to.Item"
"-10 to 195","Range of Values",5583,5583,NA
".","Missing",2,5585,NA
