"OHQ576Q.Code.or.Value","OHQ576Q.Value.Description","OHQ576Q.Count","OHQ576Q.Cumulative","OHQ576Q.Skip.to.Item"
"0 to 78","Range of Values",231,231,""
"7777","Refused",0,231,"OHQ592"
"9999","Don't know",0,231,"OHQ592"
".","Missing",8666,8897,""
