"RFXT106.Code.or.Value","RFXT106.Value.Description","RFXT106.Count","RFXT106.Cumulative","RFXT106.Skip.to.Item"
"920 to 929","Range of Values",33691,33691,NA
".","Missing",30,33721,NA
