"URDP07LC.Code.or.Value","URDP07LC.Value.Description","URDP07LC.Count","URDP07LC.Cumulative","URDP07LC.Skip.to.Item"
"0","At or above the detection limit",2226,2226,NA
"1","Below lower detection limit",29,2255,NA
".","Missing",94,2349,NA
