"LBDVBMLC.Code.or.Value","LBDVBMLC.Value.Description","LBDVBMLC.Count","LBDVBMLC.Cumulative","LBDVBMLC.Skip.to.Item"
"0","At or above detection limit",484,484,NA
"1","Below lower detection limit",2380,2864,NA
".","Missing",308,3172,NA
