"PAXMZM.Code.or.Value","PAXMZM.Value.Description","PAXMZM.Count","PAXMZM.Cumulative","PAXMZM.Skip.to.Item"
"0 to 22408.285","Range of Values",88221604,88221604,NA
"-0.01","Value could not be computed",1875,88223479,NA
".","Missing",0,88223479,NA
