"DSXENX.Code.or.Value","DSXENX.Value.Description","DSXENX.Count","DSXENX.Cumulative","DSXENX.Skip.to.Item"
"0.017 to 454454.23","Range of Values",6963,6963,NA
".","Missing",2477,9440,NA
