"BMXSAD1.Code.or.Value","BMXSAD1.Value.Description","BMXSAD1.Count","BMXSAD1.Cumulative","BMXSAD1.Skip.to.Item"
"9.5 to 40.7","Range of Values",6983,6983,NA
".","Missing",2561,9544,NA
