"WBXP014.Code.or.Value","WBXP014.Value.Description","WBXP014.Count","WBXP014.Cumulative","WBXP014.Skip.to.Item"
"-170.5706 to 146.751","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
