"WBXF080.Code.or.Value","WBXF080.Value.Description","WBXF080.Count","WBXF080.Cumulative","WBXF080.Skip.to.Item"
"3668.0162 to 3668.0162","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
