"LBDACRLC.Code.or.Value","LBDACRLC.Value.Description","LBDACRLC.Count","LBDACRLC.Cumulative","LBDACRLC.Skip.to.Item"
"0","detectable result",2413,2413,NA
"1","below detectable limit",0,2413,NA
".","Missing",279,2692,NA
