"URXCOP.Code.or.Value","URXCOP.Value.Description","URXCOP.Count","URXCOP.Cumulative","URXCOP.Skip.to.Item"
"0.21 to 3346.1","Range of Values",2762,2762,NA
".","Missing",224,2986,NA
