"URXDMA.Code.or.Value","URXDMA.Value.Description","URXDMA.Count","URXDMA.Cumulative","URXDMA.Skip.to.Item"
"0.1 to 18500","Range of Values",2792,2792,NA
".","Missing",149,2941,NA
