"LBXLZ2.Code.or.Value","LBXLZ2.Value.Description","LBXLZ2.Count","LBXLZ2.Cumulative","LBXLZ2.Skip.to.Item"
"1","Sensitive",0,0,NA
"2","Nonsusceptible",0,0,NA
"3","No result",0,0,NA
".","Missing",9179,9179,NA
