"DSQIMAGN.Code.or.Value","DSQIMAGN.Value.Description","DSQIMAGN.Count","DSQIMAGN.Cumulative","DSQIMAGN.Skip.to.Item"
"0.1 to 3390","Range of Values",1673,1673,NA
".","Missing",8311,9984,NA
