"WBXP100.Code.or.Value","WBXP100.Value.Description","WBXP100.Count","WBXP100.Cumulative","WBXP100.Skip.to.Item"
"-177.814 to 136.3808","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
