"DEX6COMM.Code.or.Value","DEX6COMM.Value.Description","DEX6COMM.Count","DEX6COMM.Cumulative","DEX6COMM.Skip.to.Item"
"Reader 6 comment","Value was recorded",3,3,NA
"< blank >","Missing",2989,2992,NA
