"WTSPO27.Code.or.Value","WTSPO27.Value.Description","WTSPO27.Count","WTSPO27.Cumulative","WTSPO27.Skip.to.Item"
"0.0000000 to 827167.8185100","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
