"WTSBA52.Code.or.Value","WTSBA52.Value.Description","WTSBA52.Count","WTSBA52.Cumulative","WTSBA52.Skip.to.Item"
"0 to 356012.73145","Range of Values",946,946,NA
".","Missing",65,1011,NA
