"AUDTYL83.Code.or.Value","AUDTYL83.Value.Description","AUDTYL83.Count","AUDTYL83.Cumulative","AUDTYL83.Skip.to.Item"
"0 to 0.31","Range of Values",3834,3834,NA
".","Missing",666,4500,NA
