"LBXDIE.Code.or.Value","LBXDIE.Value.Description","LBXDIE.Count","LBXDIE.Cumulative","LBXDIE.Skip.to.Item"
"0.007 to 3.1761","Range of Values",1952,1952,NA
".","Missing",385,2337,NA
